Category_Id,Difficulty,SNo,English,Tamil,Category_Name,Category_Name_Tamil
2,D1,12,butter,வெண்ணெய்,Food & Groceries,உணவு & மளிகை
2,D1,13,flour,மாவு,Food & Groceries,உணவு & மளிகை
2,D1,14,mustard,கடுகு,Food & Groceries,உணவு & மளிகை
2,D1,15,tamarind,புளி,Food & Groceries,உணவு & மளிகை
2,D1,16,pickle,ஊறுகாய்,Food & Groceries,உணவு & மளிகை
2,D1,17,snacks,தின்பண்டங்கள்,Food & Groceries,உணவு & மளிகை
2,D1,18,sweets,இனிப்புகள்,Food & Groceries,உணவு & மளிகை
2,D1,19,jaggery,வெல்லம்,Food & Groceries,உணவு & மளிகை
2,D1,20,candy,மிட்டாய்,Food & Groceries,உணவு & மளிகை
2,D2,1,cotton candy,பஞ்சுமிட்டாய்,Food & Groceries,உணவு & மளிகை
2,D2,2,porridge,கஞ்சி,Food & Groceries,உணவு & மளிகை
2,D2,3,soup,வடிசாறு,Food & Groceries,உணவு & மளிகை
2,D2,4,bread slice,ரொட்டித்துண்டு,Food & Groceries,உணவு & மளிகை
2,D2,5,jam,பழக்கூட்டு,Food & Groceries,உணவு & மளிகை
2,D2,6,tea,தேநீர்,Food & Groceries,உணவு & மளிகை
2,D2,7,lemonade,எலுமிச்சை பானம்,Food & Groceries,உணவு & மளிகை
2,D2,8,hot water,வெந்நீர்,Food & Groceries,உணவு & மளிகை
2,D2,9,tender coconut water,இளநீர்,Food & Groceries,உணவு & மளிகை
2,D2,10,breakfast,காலை உணவு,Food & Groceries,உணவு & மளிகை
2,D2,11,lunch,மதிய உணவு,Food & Groceries,உணவு & மளிகை
2,D2,12,dinner,இரவு உணவு,Food & Groceries,உணவு & மளிகை
2,D2,13,feast,விருந்து,Food & Groceries,உணவு & மளிகை
2,D2,14,Fruit Juice,பழச்சாறு,Food & Groceries,உணவு & மளிகை
2,D2,15,cumin,சீரகம்,Food & Groceries,உணவு & மளிகை
2,D2,16,turmeric,மஞ்சள்,Food & Groceries,உணவு & மளிகை
2,D2,17,chili powder,மிளகாய்த்தூள்,Food & Groceries,உணவு & மளிகை
2,D2,18,ginger,இஞ்சி,Food & Groceries,உணவு & மளிகை
2,D2,19,almond,வாதுமைப் பருப்பு,Food & Groceries,உணவு & மளிகை
2,D2,20,peanut,வேர்க்கடலை,Food & Groceries,உணவு & மளிகை
3,D1,1,home,இல்லம்,Household Items,வீட்டுப் பொருள்கள்
3,D1,2,entrance,வாசல்,Household Items,வீட்டுப் பொருள்கள்
3,D1,3,door,கதவு,Household Items,வீட்டுப் பொருள்கள்
3,D1,4,window,சன்னல்,Household Items,வீட்டுப் பொருள்கள்
3,D1,5,chair,நாற்காலி,Household Items,வீட்டுப் பொருள்கள்
3,D1,6,table,மேசை,Household Items,வீட்டுப் பொருள்கள்
3,D1,7,bed,கட்டில்,Household Items,வீட்டுப் பொருள்கள்
3,D1,8,upstairs,மாடி,Household Items,வீட்டுப் பொருள்கள்
3,D1,9,plate,தட்டு,Household Items,வீட்டுப் பொருள்கள்
3,D1,10,spoon,கரண்டி,Household Items,வீட்டுப் பொருள்கள்
3,D1,11,stove,அடுப்பு,Household Items,வீட்டுப் பொருள்கள்
3,D1,12,clock,கடிகாரம்,Household Items,வீட்டுப் பொருள்கள்
3,D1,13,pot,பாத்திரம்,Household Items,வீட்டுப் பொருள்கள்
3,D1,14,bowl,கிண்ணம்,Household Items,வீட்டுப் பொருள்கள்
3,D1,15,knife,கத்தி,Household Items,வீட்டுப் பொருள்கள்
3,D1,16,basket,கூடை,Household Items,வீட்டுப் பொருள்கள்
3,D1,17,bag,பை,Household Items,வீட்டுப் பொருள்கள்
3,D1,18,umbrella,குடை,Household Items,வீட்டுப் பொருள்கள்
3,D1,19,fan,விசிறி,Household Items,வீட்டுப் பொருள்கள்
3,D1,20,mat,பாய்,Household Items,வீட்டுப் பொருள்கள்
3,D2,1,refrigerator,குளிர்சாதனப் பெட்டி,Household Items,வீட்டுப் பொருள்கள்
3,D2,2,clay pot,மண்சட்டி,Household Items,வீட்டுப் பொருள்கள்
3,D2,3,electric fan,மின்விசிறி,Household Items,வீட்டுப் பொருள்கள்
3,D2,4,water pipe,தண்ணீர்க்குழாய்,Household Items,வீட்டுப் பொருள்கள்
3,D2,5,computer,கணினி,Household Items,வீட்டுப் பொருள்கள்
3,D2,6,kitchen,சமையலறை,Household Items,வீட்டுப் பொருள்கள்
3,D2,7,bathroom,குளியலறை,Household Items,வீட்டுப் பொருள்கள்
3,D2,8,bedroom,படுக்கையறை,Household Items,வீட்டுப் பொருள்கள்
3,D2,9,mirror,நிலைக்கண்ணாடி,Household Items,வீட்டுப் பொருள்கள்
3,D2,10,telephone,தொலைபேசி,Household Items,வீட்டுப் பொருள்கள்
3,D2,11,television,தொலைகாட்சிப்பெட்டி,Household Items,வீட்டுப் பொருள்கள்
3,D2,12,radio,வானொலி,Household Items,வீட்டுப் பொருள்கள்
3,D2,13,mobile,கைப்பேசி,Household Items,வீட்டுப் பொருள்கள்
3,D2,14,electric light,மின்விளக்கு,Household Items,வீட்டுப் பொருள்கள்
3,D2,15,chandelier,சரவிளக்கு,Household Items,வீட்டுப் பொருள்கள்
3,D2,16,photograph,புகைப்படம்,Household Items,வீட்டுப் பொருள்கள்
3,D2,17,scissors,கத்தரிக்கோல்,Household Items,வீட்டுப் பொருள்கள்
3,D2,18,latch,தாழ்ப்பாள்,Household Items,வீட்டுப் பொருள்கள்
3,D2,19,pillow,தலையணை,Household Items,வீட்டுப் பொருள்கள்
3,D2,20,blanket,போர்வை,Household Items,வீட்டுப் பொருள்கள்
4,D1,1,school,பள்ளி,School Items,பள்ளிப் பொருள்கள்
4,D1,2,teacher,ஆசிரியர்,School Items,பள்ளிப் பொருள்கள்
4,D1,3,book,புத்தகம்,School Items,பள்ளிப் பொருள்கள்
4,D1,4,pen,எழுதுகோல்,School Items,பள்ளிப் பொருள்கள்
4,D1,5,book bag,புத்தகப்பை,School Items,பள்ளிப் பொருள்கள்
4,D1,6,student,மாணவன்,School Items,பள்ளிப் பொருள்கள்
4,D1,7,classroom,வகுப்பறை,School Items,பள்ளிப் பொருள்கள்
4,D1,8,exam,தேர்வு,School Items,பள்ளிப் பொருள்கள்
4,D1,9,score,மதிப்பெண்,School Items,பள்ளிப் பொருள்கள்
4,D1,10,lesson,பாடம்,School Items,பள்ளிப் பொருள்கள்
4,D1,11,award,விருது,School Items,பள்ளிப் பொருள்கள்
4,D1,12,answer,விடை,School Items,பள்ளிப் பொருள்கள்
4,D1,13,question,வினா,School Items,பள்ளிப் பொருள்கள்
4,D1,14,holiday,விடுமுறை,School Items,பள்ளிப் பொருள்கள்
4,D1,15,paper,காகிதம்,School Items,பள்ளிப் பொருள்கள்
4,D1,16,school library,பள்ளி நூலகம்,School Items,பள்ளிப் பொருள்கள்
4,D1,17,competition,போட்டி,School Items,பள்ளிப் பொருள்கள்
4,D1,18,English,ஆங்கிலம்,School Items,பள்ளிப் பொருள்கள்
4,D1,19,knowledge,அறிவு,School Items,பள்ளிப் பொருள்கள்
4,D1,20,eraser,அழிப்பான்,School Items,பள்ளிப் பொருள்கள்
4,D2,1,paint brush,வண்ணத் தூரிகை,School Items,பள்ளிப் பொருள்கள்
4,D2,2,playground,விளையாட்டுத் திடல்,School Items,பள்ளிப் பொருள்கள்
4,D2,3,race,பந்தயம்,School Items,பள்ளிப் பொருள்கள்
4,D2,4,chalk,சுண்ண எழுதுகோல்,School Items,பள்ளிப் பொருள்கள்
4,D2,5,trophy,பரிசுக் கோப்பை,School Items,பள்ளிப் பொருள்கள்
4,D2,6,uniform,சீருடை,School Items,பள்ளிப் பொருள்கள்
4,D2,7,announcement,அறிவிப்பு,School Items,பள்ளிப் பொருள்கள்
4,D2,8,loud speaker,ஒலிபெருக்கி,School Items,பள்ளிப் பொருள்கள்
4,D2,9,interval,இடைவேளை,School Items,பள்ளிப் பொருள்கள்
4,D2,10,black board,கரும்பலகை,School Items,பள்ளிப் பொருள்கள்
4,D2,11,memorize,மனப்பாடம்,School Items,பள்ளிப் பொருள்கள்
4,D2,12,read,படி,School Items,பள்ளிப் பொருள்கள்
4,D2,13,home work,வீட்டுப்பாடம்,School Items,பள்ளிப் பொருள்கள்
4,D2,14,certificate,சான்றிதழ்,School Items,பள்ளிப் பொருள்கள்
4,D2,15,research,ஆராய்ச்சி,School Items,பள்ளிப் பொருள்கள்
4,D2,16,pass,தேர்ச்சி,School Items,பள்ளிப் பொருள்கள்
4,D2,17,social science,சமூக அறிவியல்,School Items,பள்ளிப் பொருள்கள்
4,D2,18,headmaster,தலைமை ஆசிரியர்,School Items,பள்ளிப் பொருள்கள்
4,D2,19,school bus,பள்ளிப்பேருந்து,School Items,பள்ளிப் பொருள்கள்
4,D2,20,poem,கவிதை,School Items,பள்ளிப் பொருள்கள்
5,D1,1,mom,அம்மா,Family,குடும்பம்
5,D1,2,dad,அப்பா,Family,குடும்பம்
5,D1,3,older brother,அண்ணன்,Family,குடும்பம்
5,D1,4,older sister,அக்கா,Family,குடும்பம்
5,D1,5,younger brother,தம்பி,Family,குடும்பம்
5,D1,6,younger sister,தங்கை,Family,குடும்பம்
5,D1,7,grandfather,தாத்தா,Family,குடும்பம்
5,D1,8,grandmother,பாட்டி,Family,குடும்பம்
5,D1,9,aunt,அத்தை,Family,குடும்பம்
5,D1,10,uncle,மாமா,Family,குடும்பம்
5,D1,11,husband,கணவன்,Family,குடும்பம்
5,D1,12,wife,மனைவி,Family,குடும்பம்
5,D1,13,friend (boy),தோழன்,Family,குடும்பம்
5,D1,14,friend (girl),தோழி,Family,குடும்பம்
5,D1,15,friends,நண்பர்கள்,Family,குடும்பம்
5,D1,16,baby,குழந்தை,Family,குடும்பம்
5,D1,17,grandson,பேரன்,Family,குடும்பம்
5,D1,18,granddaughter,பேத்தி,Family,குடும்பம்
5,D1,19,son,மகன்,Family,குடும்பம்
5,D1,20,daughter,மகள்,Family,குடும்பம்
5,D2,1,mom's older sister,பெரியம்மா,Family,குடும்பம்
5,D2,2,dad's older brother,பெரியப்பா,Family,குடும்பம்
5,D2,3,mom's younger sister,சித்தி,Family,குடும்பம்
5,D2,4,dad's younger brother,சித்தப்பா,Family,குடும்பம்
5,D2,5,mother-in-law,மாமியார்,Family,குடும்பம்
5,D2,6,father-in-law,மாமனார்,Family,குடும்பம்
5,D2,7,son-in-law,மருமகன்,Family,குடும்பம்
5,D2,8,daughter-in-law,மருமகள்,Family,குடும்பம்
5,D2,9,older brother's wife,அண்ணி,Family,குடும்பம்
5,D2,10,relatives,உறவினர்கள்,Family,குடும்பம்
5,D2,11,family,குடும்பம்,Family,குடும்பம்
5,D2,12,parents,பெற்றோர்,Family,குடும்பம்
5,D2,13,groom,மணமகன்,Family,குடும்பம்
5,D2,14,bride,மணமகள்,Family,குடும்பம்
5,D2,15,ancestors,முன்னோர்,Family,குடும்பம்
5,D2,16,grandkids,பேரக்குழந்தைகள்,Family,குடும்பம்
5,D2,17,great grandfather,கொள்ளுத்தாத்தா,Family,குடும்பம்
5,D2,18,great grandmother,கொள்ளுப்பாட்டி,Family,குடும்பம்
5,D2,19,siblings,உடன்பிறந்தவர்கள்,Family,குடும்பம்
5,D2,20,niece,உடன்பிறந்தோர் மகள்,Family,குடும்பம்
13,D1,1,banana,வாழைப்பழம்,Fruits,பழங்கள்
13,D1,2,jackfruit,பலாப்பழம்,Fruits,பழங்கள்
13,D1,3,mango,மாம்பழம்,Fruits,பழங்கள்
13,D1,4,guavas,கொய்யாப்பழம்,Fruits,பழங்கள்
13,D1,5,custard apple,சீதாப்பழம்,Fruits,பழங்கள்
13,D1,6,jamun fruit,நாவல் பழம்,Fruits,பழங்கள்
13,D1,7,pomegranate,மாதுளம்பழம்,Fruits,பழங்கள்
13,D1,8,fig,அத்திப்பழம்,Fruits,பழங்கள்
13,D1,9,pineapple,அன்னாசிப்பழம்,Fruits,பழங்கள்
13,D1,10,papaya,ப்பாளிப்பழம்,Fruits,பழங்கள்
13,D1,11,raisins,உலர் திராட்சை,Fruits,பழங்கள்
13,D1,12,lemon,எலுமிச்சம்பழம்,Fruits,பழங்கள்
13,D1,13,grapes,திராட்சைப்பழம்,Fruits,பழங்கள்
13,D1,14,pears,பேரிக்காய்,Fruits,பழங்கள்
13,D1,15,dates,பேரீச்சம்பழம்,Fruits,பழங்கள்
13,D1,16,gooseberry,நெல்லிக்காய்,Fruits,பழங்கள்
13,D1,17,chiku fruit,சீமையிலுப்பை,Fruits,பழங்கள்
13,D1,18,citron,நாரத்தைப் பழம்,Fruits,பழங்கள்
13,D1,19,orange,கிச்சிலிப்பழம்,Fruits,பழங்கள்
13,D1,20,watermelon,தர்ப்பூசணிப்பழ ம்,Fruits,பழங்கள்
13,D2,1,blackberry,கருநாவற்பழம்,Fruits,பழங்கள்
13,D2,2,sweet lime,சாத்துக்குடி,Fruits,பழங்கள்
13,D2,3,sugar palm,நுங்கு,Fruits,பழங்கள்
13,D2,4,cashew fruit,முந்திரிப்பழம்,Fruits,பழங்கள்
13,D2,5,wood apple,விளாம்பழம்,Fruits,பழங்கள்
13,D2,6,lychee,விலச்சிப்பழம்,Fruits,பழங்கள்
13,D2,7,apple,குமளிப்பழம்,Fruits,பழங்கள்
13,D2,8,apricot,சருக்கரை பாதாமிப்பழம்,Fruits,பழங்கள்
13,D2,9,honeydew melon,தேனீ முலாம்பழம்,Fruits,பழங்கள்
13,D2,10,muskmelon,கீரணிப்பழம்,Fruits,பழங்கள்
13,D2,11,kiwi fruit,பசலிப்பழம்,Fruits,பழங்கள்
13,D2,12,avocado,வெண்ணெய்ப்பழம்,Fruits,பழங்கள்
13,D2,13,bell fruit,பஞ்சலிப்பழம்,Fruits,பழங்கள்
13,D2,14,strawberry,செம்புற்றுப்பழம்,Fruits,பழங்கள்
13,D2,15,tamarind fruit,புளியம்பழம்,Fruits,பழங்கள்
13,D2,16,blueberry,அவுரிநெல்லி,Fruits,பழங்கள்
13,D2,17,cantaloupe,மஞ்சள் முலாம்பழம்,Fruits,பழங்கள்
13,D2,18,cranberry,குருதி நெல்லி,Fruits,பழங்கள்
13,D2,19,dragon fruit,விருத்திரப்பழம்,Fruits,பழங்கள்
13,D2,20,plantain fruit,நேந்திரம்பழம்,Fruits,பழங்கள்
17,D1,1,angle,கோணம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,2,square,சதுரம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,3,number,எண்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,4,seventy,எழுபது,Numbers and Math,"எண்கள், கணக்கு"
17,D1,5,center,மையம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,6,interest,வட்டி,Numbers and Math,"எண்கள், கணக்கு"
17,D1,7,expense,செலவு,Numbers and Math,"எண்கள், கணக்கு"
17,D1,8,rectangle,செவ்வகம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,9,straight line,நேர்க்கோடு,Numbers and Math,"எண்கள், கணக்கு"
17,D1,10,zero,சுழியம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,11,triangle,முக்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,12,eighty,எண்பது,Numbers and Math,"எண்கள், கணக்கு"
17,D1,13,circle,வட்டம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,14,addition,கூட்டல்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,15,division,வகுத்தல்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,16,multiplication,பெருக்கல்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,17,subtraction,கழித்தல்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,18,lakh,இலட்சம்,Numbers and Math,"எண்கள், கணக்கு"
17,D1,19,crore,கோடி,Numbers and Math,"எண்கள், கணக்கு"
17,D1,20,point,புள்ளி,Numbers and Math,"எண்கள், கணக்கு"
17,D2,1,approximate,ஏறத்தாழ,Numbers and Math,"எண்கள், கணக்கு"
17,D2,2,quotient,ஈவு,Numbers and Math,"எண்கள், கணக்கு"
17,D2,3,quarter circle,கால்வட்டம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,4,half circle,அரைவட்டம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,5,difference,வேறுபாடு,Numbers and Math,"எண்கள், கணக்கு"
17,D2,6,percentage,விழுக்காடு,Numbers and Math,"எண்கள், கணக்கு"
17,D2,7,remainder,மீதி,Numbers and Math,"எண்கள், கணக்கு"
17,D2,8,sum,தொகை,Numbers and Math,"எண்கள், கணக்கு"
17,D2,9,composite number,கலவை எண்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,10,geometry,வடிவியல்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,11,octagon,எண்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,12,pentagon,ஐங்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,13,hexagon,அறுகோணம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,14,sphere,கோளம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,15,right angle,செங்கோணம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,16,perpendicular,செங்குத்துக்கோடு,Numbers and Math,"எண்கள், கணக்கு"
17,D2,17,parallel,இணை கோடு,Numbers and Math,"எண்கள், கணக்கு"
17,D2,18,diameter,விட்டம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,19,trapezoid,சரிவகம்,Numbers and Math,"எண்கள், கணக்கு"
17,D2,20,intersection,குறுக்குவெட்டு,Numbers and Math,"எண்கள், கணக்கு"
19,D1,1,earth,புவி,Geography,புவியியல்
19,D1,2,continent,கண்டம்,Geography,புவியியல்
19,D1,3,country,நாடு,Geography,புவியியல்
19,D1,4,town,ஊர்,Geography,புவியியல்
19,D1,5,city,நகரம்,Geography,புவியியல்
19,D1,6,planets,கோள்கள்,Geography,புவியியல்
19,D1,7,sun,ஞாயிறு,Geography,புவியியல்
19,D1,8,moon,திங்கள்,Geography,புவியியல்
19,D1,9,peak,சிகரம்,Geography,புவியியல்
19,D1,10,pressure,அழுத்தம்,Geography,புவியியல்
19,D1,11,ranges,தொடர்கள்,Geography,புவியியல்
19,D1,12,globe,புவிக்கோளம்,Geography,புவியியல்
19,D1,13,village,கிராம்,Geography,புவியியல்
19,D1,14,universe,அண்டம்,Geography,புவியியல்
19,D1,15,geography,புவியியல் (நிலவியல்),Geography,புவியியல்
19,D1,16,sky,வானம்,Geography,புவியியல்
19,D1,17,water,நீர்,Geography,புவியியல்
19,D1,18,fire,நெருப்பு,Geography,புவியியல்
19,D1,19,state,மாநிலம்,Geography,புவியியல்
19,D1,20,capital,தலைநகரம்,Geography,புவியியல்
19,D2,1,eclipse,கிரகணம்,Geography,புவியியல்
19,D2,2,earthquake,நிலநடுக்கம்,Geography,புவியியல்
19,D2,3,typhoon,சூறாவளி,Geography,புவியியல்
19,D2,4,lava,எரிமலைக்குழம்பு,Geography,புவியியல்
19,D2,5,hemisphere,அரைக்கோளம்,Geography,புவியியல்
19,D2,6,plateau,பீடபூமி,Geography,புவியியல்
19,D2,7,tropic of cancer,கடக்கோடு,Geography,புவியியல்
19,D2,8,tropic of capricorn,மகரக்கோடு,Geography,புவியியல்
19,D2,9,drain,வடிகால்,Geography,புவியியல்
19,D2,10,distributaries,கிளை நதிகள்,Geography,புவியியல்
19,D2,11,smog,பனிப்புகை,Geography,புவியியல்
19,D2,12,Geyser,கொதிநீர்ஊற்று,Geography,புவியியல்
19,D2,13,gulf,வளைகுடா,Geography,புவியியல்
19,D2,14,ore,தாதுப்பொருள்,Geography,புவியியல்
19,D2,15,primitive man,தொல்மாந்தர்,Geography,புவியியல்
19,D2,16,crater,எரிமலைவாய்,Geography,புவியியல்
19,D2,17,blizzard,பனிப்புயல்,Geography,புவியியல்
19,D2,18,archipelago,தீவுக்கூட்டம்,Geography,புவியியல்
19,D2,19,"border line, boundary",எல்லைக்கோடு,Geography,புவியியல்
19,D2,20,moat,அகழி,Geography,புவியியல்
20,D1,1,motherly love,தாய்ப்பாசம்,Love and Care,அன்பும் அரவணைப்பும்
20,D1,2,caring,அக்கறை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,3,help,உதவி,Love and Care,அன்பும் அரவணைப்பும்
20,D1,4,devotion,பக்தி,Love and Care,அன்பும் அரவணைப்பும்
20,D1,5,respect,மரியாதை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,6,friendship,நட்பு,Love and Care,அன்பும் அரவணைப்பும்
20,D1,7,friendliness,தோழமை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,8,hug,அணைப்பு,Love and Care,அன்பும் அரவணைப்பும்
20,D1,9,desire,ஆசை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,10,affection,அன்புறவு,Love and Care,அன்பும் அரவணைப்பும்
20,D1,11,relationship,உறவு,Love and Care,அன்பும் அரவணைப்பும்
20,D1,12,taking care,புரத்தல் (கவனிப்பு),Love and Care,அன்பும் அரவணைப்பும்
20,D1,13,tender,மென்மை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,14,fondness,நேசம்,Love and Care,அன்பும் அரவணைப்பும்
20,D1,15,mercy,இரக்கம்,Love and Care,அன்பும் அரவணைப்பும்
20,D1,16,understanding,புரிதல்,Love and Care,அன்பும் அரவணைப்பும்
20,D1,17,love,காதல்,Love and Care,அன்பும் அரவணைப்பும்
20,D1,18,companion,துணை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,19,trust,நம்பிக்கை,Love and Care,அன்பும் அரவணைப்பும்
20,D1,20,kiss,முத்தம்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,1,wedding,திருமணம்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,2,responsible,பொறுப்பு,Love and Care,அன்பும் அரவணைப்பும்
20,D2,3,sympathy,அனுதாபம்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,4,kindness,கருணை,Love and Care,அன்பும் அரவணைப்பும்
20,D2,5,considerate,பரிவு,Love and Care,அன்பும் அரவணைப்பும்
20,D2,6,humanity,மனிதநேயம்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,7,closeness,நெருக்கம்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,8,supportive,ஆதரவு,Love and Care,அன்பும் அரவணைப்பும்
20,D2,9,honesty,நேர்மை,Love and Care,அன்பும் அரவணைப்பும்
20,D2,10,committed,உறுதி,Love and Care,அன்பும் அரவணைப்பும்
20,D2,11,attachment,இணைப்பு,Love and Care,அன்பும் அரவணைப்பும்
20,D2,12,good natured,அன்புள்ளம்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,13,loyalty,நன்னம்பிக்கை,Love and Care,அன்பும் அரவணைப்பும்
20,D2,14,greatness,மேன்மை,Love and Care,அன்பும் அரவணைப்பும்
20,D2,15,value,மதிப்பு,Love and Care,அன்பும் அரவணைப்பும்
20,D2,16,consolation,ஆறுதல்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,17,appreciation,பாராட்டு,Love and Care,அன்பும் அரவணைப்பும்
20,D2,18,forgiveness,பொறுத்தருளல்,Love and Care,அன்பும் அரவணைப்பும்
20,D2,19,patriotism,நாட்டுப்பற்று,Love and Care,அன்பும் அரவணைப்பும்
20,D2,20,forever,என்றென்றும்,Love and Care,அன்பும் அரவணைப்பும்
22,D1,1,litter (trash),குப்பை,Climate Changes and Pollution,காலநிலை மாற்றம்
22,D1,2,waste,கழிவு,Climate Changes and Pollution,காலநிலை மாற்றம்
22,D1,3,natural gas,இயற்கை எரிவாயு,Climate Changes and Pollution,காலநிலை மாற்றம்
22,D1,4,plant a tree,மரம் நடு,Climate Changes and Pollution,காலநிலை மாற்றம்
22,D1,5,climate,பருவநிலை,Climate Changes and Pollution,காலநிலை மாற்றம்
22,D1,6,global warming,உலக வெப்பமயமாத ல்,Climate Changes and Pollution,காலநிலை மாற்றம்
22,D1,7,ocean heat,கடல் வெப்பம்,Climate Changes and Pollution,காலநிலை மாற்றம்
